agent,episode,seed,reward
snn,0,0,1467.324
snn,1,1,1309.113
snn,2,2,1457.291
snn,3,3,9.075636
snn,4,4,1436.406
snn,5,5,1544.859
snn,6,6,1429.355
snn,7,7,1446.76
snn,8,8,1390.183
snn,9,9,1386.983
snn,10,10,1402.029
snn,11,11,313.4747
snn,12,12,1451.814
snn,13,13,1408.311
snn,14,14,1426.567
snn,15,15,1392.55
snn,16,16,1356.428
snn,17,17,1492.675
snn,18,18,1032.775
snn,19,19,1413.716
snn,20,20,1428.365
snn,21,21,1447.598
snn,22,22,1406.652
snn,23,23,25.47347
snn,24,24,253.0129
snn,25,25,1402.884
snn,26,26,1407.275
snn,27,27,1467.077
snn,28,28,1354.131
snn,29,29,1456.741
snn,30,30,1365.546
snn,31,31,1320.433
snn,32,32,1457.434
snn,33,33,1446.877
snn,34,34,1434.376
snn,35,35,1381.871
snn,36,36,1420.926
snn,37,37,1454.012
snn,38,38,1403.242
snn,39,39,1390.325
snn,40,40,1417.309
snn,41,41,1427.37
snn,42,42,1452.288
snn,43,43,1.135037
snn,44,44,4.357891
snn,45,45,3.899829
snn,46,46,304.621
snn,47,47,0.3375435
snn,48,48,1400.129
snn,49,49,1410.03
snn,50,50,1464.205
snn,51,51,1489.478
snn,52,52,1457.847
snn,53,53,1438.71
snn,54,54,1455.048
snn,55,55,1099.086
snn,56,56,9.899423
snn,57,57,23.11088
snn,58,58,1342.609
snn,59,59,7.317552
snn,60,60,1231.016
snn,61,61,1344.334
snn,62,62,1390.026
snn,63,63,1497.175
snn,64,64,70.37451
snn,65,65,1388.97
snn,66,66,1499.445
snn,67,67,1447.181
snn,68,68,7.404016
snn,69,69,2.612818
snn,70,70,1460.226
snn,71,71,1484.328
snn,72,72,1334.945
snn,73,73,81.30941
snn,74,74,1292.765
snn,75,75,1386.076
snn,76,76,1345.914
snn,77,77,11.11692
snn,78,78,1394.759
snn,79,79,1441.022
snn,80,80,1339.205
snn,81,81,1505.206
snn,82,82,43.05938
snn,83,83,1420.316
snn,84,84,1478.725
snn,85,85,1326.803
snn,86,86,1495.244
snn,87,87,199.4969
snn,88,88,1338.057
snn,89,89,1341.874
snn,90,90,1409.939
snn,91,91,4.841217
snn,92,92,1441.624
snn,93,93,1412.369
snn,94,94,1459.411
snn,95,95,1420.194
snn,96,96,1434.679
snn,97,97,1482.73
snn,98,98,1426.105
snn,99,99,1392.106
ann,0,0,1688.05917
ann,1,1,1818.229807
ann,2,2,1882.435312
ann,3,3,1535.452204
ann,4,4,1817.186665
ann,5,5,1683.3557420000002
ann,6,6,0.279856
ann,7,7,1811.5315300000002
ann,8,8,241.068008
ann,9,9,1867.965662
ann,10,10,1550.369084
ann,11,11,1789.389774
ann,12,12,182.900668
ann,13,13,1873.6422850000001
ann,14,14,1398.576425
ann,15,15,1519.73072
ann,16,16,370.713423
ann,17,17,1632.762238
ann,18,18,389.752826
ann,19,19,-0.38165499999999997
ann,20,20,1790.825495
ann,21,21,1550.659717
ann,22,22,204.84994899999998
ann,23,23,1775.146056
ann,24,24,386.83878100000004
ann,25,25,1771.591954
ann,26,26,1768.618933
ann,27,27,1616.266752
ann,28,28,2.433835
ann,29,29,1569.703833
ann,30,30,1755.4675849999999
ann,31,31,1899.147818
ann,32,32,608.093065
ann,33,33,1487.436569
ann,34,34,2.6660179999999998
ann,35,35,1720.86705
ann,36,36,1430.542055
ann,37,37,-1.1222930000000002
ann,38,38,498.461152
ann,39,39,623.60501
ann,40,40,400.72548399999994
ann,41,41,1803.567736
ann,42,42,1758.211158
ann,43,43,375.964582
ann,44,44,1817.363189
ann,45,45,2.562332
ann,46,46,1113.537829
ann,47,47,1744.4607290000001
ann,48,48,1720.258601
ann,49,49,1745.063022
ann,50,50,1631.608431
ann,51,51,447.510769
ann,52,52,1.5608790000000001
ann,53,53,1494.920396
ann,54,54,249.950599
ann,55,55,1800.3200089999998
ann,56,56,422.755262
ann,57,57,1777.536668
ann,58,58,938.9032569999999
ann,59,59,1717.168774
ann,60,60,1750.179213
ann,61,61,1789.4429089999999
ann,62,62,1623.9751700000002
ann,63,63,1781.38513
ann,64,64,0.7948189999999999
ann,65,65,1779.5724169999999
ann,66,66,1729.142421
ann,67,67,4.8868149999999995
ann,68,68,1632.310774
ann,69,69,1746.120547
ann,70,70,1733.421054
ann,71,71,1722.7099090000002
ann,72,72,1821.615738
ann,73,73,1786.994326
ann,74,74,1761.103421
ann,75,75,1727.713203
ann,76,76,184.40285699999998
ann,77,77,152.09812799999997
ann,78,78,1745.7036130000001
ann,79,79,970.584241
ann,80,80,1796.043239
ann,81,81,1848.6878339999998
ann,82,82,1558.2247830000001
ann,83,83,1799.1076879999998
ann,84,84,1523.092347
ann,85,85,1844.756237
ann,86,86,944.925935
ann,87,87,1766.719776
ann,88,88,4.404274
ann,89,89,1844.191742
ann,90,90,1696.881031
ann,91,91,1801.735135
ann,92,92,157.842238
ann,93,93,1823.91989
ann,94,94,1652.603651
ann,95,95,1742.936083
ann,96,96,1640.562036
ann,97,97,1845.730431
ann,98,98,1703.273173
ann,99,99,1717.991263
